normalized_label,country_count,variable_count,countries,variables,examples
2nd app last eating time minutes,1,8,Namíbia,sh336f2m | sh336f2m_1 | sh336f2m_2 | sh336f2m_3 | sh336f2m_4 | sh336f2m_5 | sh336f2m_6 | sh336f2m_7,2nd app. last eating time (minutes)
2nd appointment for blood glucose measurement,1,8,Namíbia,sh336b2 | sh336b2_1 | sh336b2_2 | sh336b2_3 | sh336b2_4 | sh336b2_5 | sh336b2_6 | sh336b2_7,2nd appointment for blood glucose measurement
2nd bp measurement diastolic,1,2,Lesoto,sbp2d | smbp2d,2nd bp measurement : diastolic | 2nd bp measurement: diastolic
2nd bp measurement systolic,1,2,Lesoto,sbp2s | smbp2s,2nd bp measurement : systolic | 2nd bp measurement: systolic
2nd choice time for radio,1,1,Senegal,s337b,2nd choice time for radio
2nd community based name,1,1,Quênia,s02b,2nd community based name
2nd disadvantage of many chldr,1,1,Camarões,sm315b,2nd disadvantage of many chldr
2nd drug taken for fever cough when 2 drugs,1,7,Gabão,s538g | s538g_1 | s538g_2 | s538g_3 | s538g_4 | s538g_5 | s538g_6,2nd drug taken for fever/cough when 2+ drugs
2nd drug taken for fever cough when 3 drugs,1,7,Gabão,s538c | s538c_1 | s538c_2 | s538c_3 | s538c_4 | s538c_5 | s538c_6,2nd drug taken for fever/cough  when 3+ drugs
2nd hlth cent antenatal care,1,1,Quênia,s31a,2nd hlth cent.: antenatal care
2nd hlth cent delivery care,1,1,Quênia,s31b,2nd hlth cent.: delivery care
2nd hlth cent family plannin,1,1,Quênia,s31d,2nd hlth cent.: family plannin
2nd hlth cent immunisations,1,1,Quênia,s31c,2nd hlth cent.: immunisations
2nd measurement diastolic,2,9,Gana | Namíbia,sh324b | sh324b_1 | sh324b_2 | sh324b_3 | sh324b_4 | sh324b_5 | sh324b_6 | sh324b_7 | sm500c2,2nd measurement: diastolic
2nd measurement systolic,2,9,Gana | Namíbia,sh324a | sh324a_1 | sh324a_2 | sh324a_3 | sh324a_4 | sh324a_5 | sh324a_6 | sh324a_7 | sm500c1,2nd measurement: systolic
2nd net number for net pers,2,35,Madagascar | Moçambique,hml14 | hml14_01 | hml14_02 | hml14_03 | hml14_04 | hml14_05 | hml14_06 | hml14_07 | hml14_08 | hml14_09 | hml14_10 | hml14_11 | hml14_12 | hml14_13 | hml14_14 | hml14_15 | hml14_16 | hml14_17 | hml14_18 | hml14_19 | hml14_20 | hml14_21 | hml14_22 | hml14_23 | hml14_24 | hml14_25 | hml14_26 | hml14_27 | hml14_28 | hml14_29 | hml14_30 | hml14_31 | hml14_32 | hml14_33 | hml14_34,2nd net number for net pers-na
2nd net number for net person slept under last night,28,96,Angola | Benin | Burkina Faso | Camarões | Chade | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gana | Guiné | Lesoto | Libéria | Madagascar | Malaui | Mali | Namíbia | Nigéria | Níger | Quênia | Ruanda | Senegal | Serra Leoa | São Tomé e Príncipe | Tanzânia | Zimbábue | Zâmbia,hml14 | hml14_01 | hml14_02 | hml14_03 | hml14_04 | hml14_05 | hml14_06 | hml14_07 | hml14_08 | hml14_09 | hml14_10 | hml14_11 | hml14_12 | hml14_13 | hml14_14 | hml14_15 | hml14_16 | hml14_17 | hml14_18 | hml14_19 | hml14_20 | hml14_21 | hml14_22 | hml14_23 | hml14_24 | hml14_25 | hml14_26 | hml14_27 | hml14_28 | hml14_29 | hml14_30 | hml14_31 | hml14_32 | hml14_33 | hml14_34 | hml14_35 | hml14_36 | hml14_37 | hml14_38 | hml14_39 | hml14_40 | hml14_41 | hml14_42 | hml14_43 | hml14_44 | hml14_45 | hml14_46 | hml14_47 | hml14_48 | hml14_49 | hml14_50 | hml14_51 | hml14_52 | hml14_53 | hml14_54 | hml14_55 | hml14_56 | hml14_57 | hml14_58 | hml14_59 | hml14_60 | hml14_61 | hml14_62 | hml14_63 | hml14_64 | hml14_65 | hml14_66 | hml14_67 | hml14_68 | hml14_69 | hml14_70 | hml14_71 | hml14_72 | hml14_73 | hml14_74 | hml14_75 | hml14_76 | hml14_77 | hml14_78 | hml14_79 | hml14_80 | hml14_81 | hml14_82 | hml14_83 | hml14_84 | hml14_85 | hml14_86 | hml14_87 | hml14_88 | hml14_89 | hml14_90 | hml14_91 | hml14_92 | hml14_93 | hml14_94 | hml14_95,2nd net number for net person slept under last night | 2nd net number for net person slept under last night - na
2nd response to fever,1,6,Malaui,s63b2 | s63b2_1 | s63b2_2 | s63b2_3 | s63b2_4 | s63b2_5,2nd response to fever
2nd to most recent sex part,1,1,Ruanda,v821b,2nd to most recent sex part-na
2nd to most recent sex partner younger the same age or older,33,1,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | Ruanda | Senegal | Serra Leoa | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul,v821b,"2nd to most recent sex partner younger, the same age or older | NA - 2nd to most recent sex partner younger, the same age or older | NA-2nd to most recent sex partner younger, the same age or older | na - 2nd to most recent sex partner younger, the same age or older | na-2nd to most recent sex partner younger, the same age or older"
2nd treatment for fever,1,7,Ruanda,s463cb | s463cb_1 | s463cb_2 | s463cb_3 | s463cb_4 | s463cb_5 | s463cb_6,2nd treatment for fever
30 minutes before bp measurement took,1,3,Benin,sm103ba | sm103bb | sm103bc,30 Minutes before BP measurement took :
3me maladie des enfants,1,1,Chade,c208c,3me maladie des enfants
3me problme de sant,1,1,Chade,c207c,3me problme de sant
3rd advantage of many children,1,1,Camarões,sm314c,3rd advantage of many children
3rd app last drinking time hours,1,8,Namíbia,sh336g3h | sh336g3h_1 | sh336g3h_2 | sh336g3h_3 | sh336g3h_4 | sh336g3h_5 | sh336g3h_6 | sh336g3h_7,3rd app. last drinking time (hours)
3rd app last drinking time minutes,1,8,Namíbia,sh336g3m | sh336g3m_1 | sh336g3m_2 | sh336g3m_3 | sh336g3m_4 | sh336g3m_5 | sh336g3m_6 | sh336g3m_7,3rd app. last drinking time (minutes)
3rd app last eating time hours,1,8,Namíbia,sh336f3h | sh336f3h_1 | sh336f3h_2 | sh336f3h_3 | sh336f3h_4 | sh336f3h_5 | sh336f3h_6 | sh336f3h_7,3rd app. last eating time (hours)
3rd app last eating time minutes,1,8,Namíbia,sh336f3m | sh336f3m_1 | sh336f3m_2 | sh336f3m_3 | sh336f3m_4 | sh336f3m_5 | sh336f3m_6 | sh336f3m_7,3rd app. last eating time (minutes)
3rd appointment for blood glucose measurement,1,8,Namíbia,sh336b3 | sh336b3_1 | sh336b3_2 | sh336b3_3 | sh336b3_4 | sh336b3_5 | sh336b3_6 | sh336b3_7,3rd appointment for blood glucose measurement
3rd bp measurement diastolic,1,2,Lesoto,sbp3s | smbp3s,3rd bp measurement : diastolic | 3rd bp measurement: diastolic
3rd bp measurement systolic,1,2,Lesoto,sbp3d | smbp3d,3rd bp measurement : systolic | 3rd bp measurement: systolic
3rd choice time for radio,1,1,Senegal,s337c,3rd choice time for radio
3rd disadvantage of many chldr,1,1,Camarões,sm315c,3rd disadvantage of many chldr
3rd drug taken for fever cough when 3 drugs,1,7,Gabão,s538d | s538d_1 | s538d_2 | s538d_3 | s538d_4 | s538d_5 | s538d_6,3rd drug taken for fever/cough when 3+ drugs
3rd measurement diastolic,2,9,Gana | Namíbia,sh334b | sh334b_1 | sh334b_2 | sh334b_3 | sh334b_4 | sh334b_5 | sh334b_6 | sh334b_7 | sm862b,3rd measurement: diastolic
3rd measurement systolic,2,9,Gana | Namíbia,sh334a | sh334a_1 | sh334a_2 | sh334a_3 | sh334a_4 | sh334a_5 | sh334a_6 | sh334a_7 | sm862a,3rd measurement: systolic
3rd net number for net pe naslept under last night,1,41,Gana,hml15 | hml15_01 | hml15_02 | hml15_03 | hml15_04 | hml15_05 | hml15_06 | hml15_07 | hml15_08 | hml15_09 | hml15_10 | hml15_11 | hml15_12 | hml15_13 | hml15_14 | hml15_15 | hml15_16 | hml15_17 | hml15_18 | hml15_19 | hml15_20 | hml15_21 | hml15_22 | hml15_23 | hml15_24 | hml15_25 | hml15_26 | hml15_27 | hml15_28 | hml15_29 | hml15_30 | hml15_31 | hml15_32 | hml15_33 | hml15_34 | hml15_35 | hml15_36 | hml15_37 | hml15_38 | hml15_39 | hml15_40,3rd net number for net pe - naslept under last night
3rd net number for net pers,5,75,Congo (República Democrática) | Madagascar | Moçambique | Senegal | Zimbábue,hml15 | hml15_01 | hml15_02 | hml15_03 | hml15_04 | hml15_05 | hml15_06 | hml15_07 | hml15_08 | hml15_09 | hml15_10 | hml15_11 | hml15_12 | hml15_13 | hml15_14 | hml15_15 | hml15_16 | hml15_17 | hml15_18 | hml15_19 | hml15_20 | hml15_21 | hml15_22 | hml15_23 | hml15_24 | hml15_25 | hml15_26 | hml15_27 | hml15_28 | hml15_29 | hml15_30 | hml15_31 | hml15_32 | hml15_33 | hml15_34 | hml15_35 | hml15_36 | hml15_37 | hml15_38 | hml15_39 | hml15_40 | hml15_41 | hml15_42 | hml15_43 | hml15_44 | hml15_45 | hml15_46 | hml15_47 | hml15_48 | hml15_49 | hml15_50 | hml15_51 | hml15_52 | hml15_53 | hml15_54 | hml15_55 | hml15_56 | hml15_57 | hml15_58 | hml15_59 | hml15_60 | hml15_61 | hml15_62 | hml15_63 | hml15_64 | hml15_65 | hml15_66 | hml15_67 | hml15_68 | hml15_69 | hml15_70 | hml15_71 | hml15_72 | hml15_73 | hml15_74,3rd net number for net pers-na
3rd net number for net person slept under last night,25,96,Angola | Benin | Burkina Faso | Camarões | Chade | Congo (Brazzaville) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Guiné | Lesoto | Libéria | Madagascar | Malaui | Mali | Namíbia | Nigéria | Níger | Quênia | Ruanda | Senegal | Serra Leoa | São Tomé e Príncipe | Tanzânia | Zâmbia,hml15 | hml15_01 | hml15_02 | hml15_03 | hml15_04 | hml15_05 | hml15_06 | hml15_07 | hml15_08 | hml15_09 | hml15_10 | hml15_11 | hml15_12 | hml15_13 | hml15_14 | hml15_15 | hml15_16 | hml15_17 | hml15_18 | hml15_19 | hml15_20 | hml15_21 | hml15_22 | hml15_23 | hml15_24 | hml15_25 | hml15_26 | hml15_27 | hml15_28 | hml15_29 | hml15_30 | hml15_31 | hml15_32 | hml15_33 | hml15_34 | hml15_35 | hml15_36 | hml15_37 | hml15_38 | hml15_39 | hml15_40 | hml15_41 | hml15_42 | hml15_43 | hml15_44 | hml15_45 | hml15_46 | hml15_47 | hml15_48 | hml15_49 | hml15_50 | hml15_51 | hml15_52 | hml15_53 | hml15_54 | hml15_55 | hml15_56 | hml15_57 | hml15_58 | hml15_59 | hml15_60 | hml15_61 | hml15_62 | hml15_63 | hml15_64 | hml15_65 | hml15_66 | hml15_67 | hml15_68 | hml15_69 | hml15_70 | hml15_71 | hml15_72 | hml15_73 | hml15_74 | hml15_75 | hml15_76 | hml15_77 | hml15_78 | hml15_79 | hml15_80 | hml15_81 | hml15_82 | hml15_83 | hml15_84 | hml15_85 | hml15_86 | hml15_87 | hml15_88 | hml15_89 | hml15_90 | hml15_91 | hml15_92 | hml15_93 | hml15_94 | hml15_95,3rd net number for net person slept under last night | 3rd net number for net person slept under last night - na | 3rd net number for net person slept under last night {na} | [na] 3rd net number for net person slept under last night | na - 3rd net number for net person slept under last night | na-3rd net number for net person slept under last night
3rd response to fever,1,6,Malaui,s63b3 | s63b3_1 | s63b3_2 | s63b3_3 | s63b3_4 | s63b3_5,3rd response to fever
3rd to most recent sex part,1,1,Ruanda,v821c,3rd to most recent sex part-na
3rd to most recent sex partner younger the same age or older,33,1,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | Ruanda | Senegal | Serra Leoa | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul,v821c,"3rd to most recent sex partner younger, the same age or older | NA - 3rd to most recent sex partner younger, the same age or older | NA-3rd to most recent sex partner younger, the same age or older | na - 3rd to most recent sex partner younger, the same age or older | na-3rd to most recent sex partner younger, the same age or older"
3rd treatment for fever,1,7,Ruanda,s463cc | s463cc_1 | s463cc_2 | s463cc_3 | s463cc_4 | s463cc_5 | s463cc_6,3rd treatment for fever
4th response to fever,1,6,Malaui,s63b4 | s63b4_1 | s63b4_2 | s63b4_3 | s63b4_4 | s63b4_5,4th response to fever
5inal say on making large household purchases,1,1,Mali,v743b,5inal say on making large household purchases
6 months after birth main source of payment for health care,1,1,Madagascar,sm611c,6 months after birth : main source of payment for health care
6 months after birth mother received care or advice,1,1,Madagascar,sm610c,6 months after birth : mother received care or advice
6 months after birth reason did not receive health care,1,1,Madagascar,sm612c,6 months after birth : reason did not receive health care
8 hours since last eating or drinking,1,8,Namíbia,sh336h | sh336h_1 | sh336h_2 | sh336h_3 | sh336h_4 | sh336h_5 | sh336h_6 | sh336h_7,8+ hours since last eating or drinking
a bank account,1,1,Tanzânia,sh28d,a bank account
a bed,1,1,Ruanda,sh132h,a bed
a bench or at least 3 chairs,1,1,Ruanda,sh132g,a bench or at least 3 chairs
a boat with a motor,1,1,Ruanda,qh118g,a boat with a motor
a boat without a motor,1,1,Ruanda,qh118f,a boat without a motor
a breastfeeding woman can get pregnant,1,1,Gana,sm305,a breastfeeding woman can get pregnant
a canoe,1,1,Nigéria,sh133h,a canoe
a cause of death from post mortem results 1104 in form 2,1,1,Gana,va1304,a cause of death from post mortem results (1104 in form 2)
a cause of death listed on burial permit 1103 in form 2,1,1,Gana,va1303,a cause of death listed on burial permit (1103 in form 2)
a cause of death listed on death certificate 1st line 1004 in form 2,1,1,Gana,va1204,a cause of death listed on death certificate - 1st line (1004 in form 2)
a cause of death listed on death certificate 2nd line 1005 in form 2,1,1,Gana,va1205,a cause of death listed on death certificate - 2nd line (1005 in form 2)
a cause of death listed on death certificate 3rd line 1006 in form 2,1,1,Gana,va1206,a cause of death listed on death certificate - 3rd line (1006 in form 2)
a cause of death listed on death certificate 4th line 1007 in form 2,1,1,Gana,va1207,a cause of death listed on death certificate - 4th line (1007 in form 2)
a cbd operates in locality,1,1,Zimbábue,c110,a cbd operates in locality
a chair,1,1,Ruanda,sh132i,a chair
a chaque prise combien de comprims donnez vous,1,6,Senegal,q457cf_1 | q457cf_2 | q457cf_3 | q457cf_4 | q457cf_5 | q457cf_6,a chaque prise combien de comprims donnez vous
a condom can be reused,1,1,Madagascar,mv835c,a condom can be reused
a condom has the aids virus,1,1,Lesoto,sm455g,a condom has the aids virus
a condom is best way to prevent unwanted pregnancy,1,1,Lesoto,sm455h,a condom is best way to prevent unwanted pregnancy
a condom is inconvenient to use,1,1,Madagascar,mv835b,a condom is inconvenient to use
a condom protects against diseases,1,1,Madagascar,mv835d,a condom protects against diseases
a cooker stove,1,1,Ruanda,sh132m,a cooker stove
a crianca e acompanhada quando vai para a creche escola,1,1,Moçambique,qc405,a criança é acompanhada quando vai para a creche/ escola?
a crianca e acompanhada quando volta da creche ou escola par,1,1,Moçambique,qc407,a criança é acompanhada quando volta da creche ou escola par
a cupboard,1,1,Ruanda,sh132n,a cupboard
a deja utilise la methode,1,13,Senegal,m203_01 | m203_02 | m203_03 | m203_04 | m203_05 | m203_06 | m203_07 | m203_08 | m203_09 | m203_10 | m203_11 | m203_12 | m203_13,a deja utilise la methode
a dinning table,1,1,Ruanda,sh132o,a dinning table
a disch washing machine,1,1,Ruanda,sh132s,a disch washing machine
a dj eu des rapports sexuels,1,1,Senegal,q513a,a dj eu des rapports sexuels
a dj utilis methode,1,13,Senegal,q303_01 | q303_02 | q303_03 | q303_04 | q303_05 | q303_06 | q303_07 | q303_08 | q303_09 | q303_10 | q303_11 | q303_12 | q303_13,a dj utilis methode
a doctor or healthcare personnel has already checked your blood pressure,1,2,Costa do Marfim,s1123 | sm825,a doctor or healthcare personnel has already checked your blood pressure
a doctor or healthcare personnel has already checked your blood pressure in the,1,2,Costa do Marfim,s1124 | sm826,a doctor or healthcare personnel has already checked your blood pressure in the 
a doctor or healthcare worker has prescribed medication to control the blood pre,1,2,Costa do Marfim,s1125 | sm827,a doctor or healthcare worker has prescribed medication to control the blood pre
a doctor or other health professional prescribed drugs to control diabetes,1,2,Mali,s1119 | sm826,a doctor or other health professional prescribed drugs to control diabetes
a doctor or other health professional prescribed drugs to control high blood pre,1,2,Mali,s1114 | sm821,a doctor or other health professional prescribed drugs to control high blood pre
a donn de la bire local,1,1,Togo,rc416g,a donn de la bire local?
a donn de la bouillie de mil,1,1,Togo,rc416e,a donn de la bouillie de mil
a donn du tisane eso etc,1,1,Togo,rc416d,"a donn du tisane, eso, etc?"
a donn lait en poudre vache,1,1,Togo,rc416c,"a donn lait en poudre, vache?"
a donne de la biere local,1,1,Togo,rc416g,a donné de la bière local?
a donne de la bouillie de mil,1,1,Togo,rc416e,a donné de la bouillie de mil
a donne du tisane eso etc,1,1,Togo,rc416d,"a donné du tisane, eso, etc?"
a donne lait en poudre vache,1,1,Togo,rc416c,"a donné lait en poudre, vache?"
a dormi ici la nuit dernire,1,80,Senegal,m05_01 | m05_02 | m05_03 | m05_04 | m05_05 | m05_06 | m05_07 | m05_08 | m05_09 | m05_10 | m05_11 | m05_12 | m05_13 | m05_14 | m05_15 | m05_16 | m05_17 | m05_18 | m05_19 | m05_20 | m05_21 | m05_22 | m05_23 | m05_24 | m05_25 | m05_26 | m05_27 | m05_28 | m05_29 | m05_30 | m05_31 | m05_32 | m05_33 | m05_34 | m05_35 | m05_36 | m05_37 | m05_38 | m05_39 | m05_40 | m05_41 | m05_42 | m05_43 | m05_44 | m05_45 | m05_46 | m05_47 | m05_48 | m05_49 | m05_50 | m05_51 | m05_52 | m05_53 | m05_54 | m05_55 | m05_56 | m05_57 | m05_58 | m05_59 | m05_60 | m05_61 | m05_62 | m05_63 | m05_64 | m05_65 | m05_66 | m05_67 | m05_68 | m05_69 | m05_70 | m05_71 | m05_72 | m05_73 | m05_74 | m05_75 | m05_76 | m05_77 | m05_78 | m05_79 | m05_80,a dormi ici la nuit dernire
a entendu parler de sida,1,2,Senegal,m401l | q601l,a entendu parler de sida
a female teacher infected with hiv but is not sick should be allowed to c,26,2,Benin | Burkina Faso | Burundi | Camarões | Congo (República Democrática) | Costa do Marfim | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Nigéria | Quênia | Ruanda | Senegal | Serra Leoa | Tanzânia | Zimbábue | Zâmbia | África do Sul,mv779 | v779,"na - a female teacher infected with hiv, but is not sick, should be allowed to c"
a female teacher infected with hiv but is not sick should be allowed to con,1,2,Senegal,mv779 | v779,"na-a female teacher infected with hiv, but is not sick, should be allowed to con"
a female teacher infected with hiv but is not sick should be allowed to contin,30,2,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | Ruanda | Senegal | Serra Leoa | Tanzânia | Togo | Zimbábue | Zâmbia,mv779 | v779,"A female teacher infected with HIV, but is not sick, should be allowed to contin | a female teacher infected with hiv, but is not sick, should be allowed to contin"
a frquent l cole,1,1,Senegal,q107,a frquent l'cole
a gas electric stove,1,1,Senegal,sh132j,a gas/electric stove
a gas stove,1,1,Senegal,sh132p,a gas stove
a health professional diagnose dengued asthma,1,2,Nigéria,a4310_5 | c3310_5,A health professional diagnose dengued asthma
a health professional diagnosed a positive malaria test,1,1,Nigéria,c3311,A health professional diagnosed a positive malaria test
a health professional diagnosed cancer,1,2,Nigéria,a4310_10 | c3310_10,A health professional diagnosed cancer
a health professional diagnosed chronic obstructive pulmonary disease copd,1,1,Nigéria,a4311_1,A health professional diagnosed Chronic Obstructive Pulmonary Disease (COPD)
a health professional diagnosed dementia,1,1,Nigéria,a4311_4,A health professional diagnosed dementia
a health professional diagnosed dengue fever,1,2,Nigéria,a4310_1 | c3310_1,A health professional diagnosed dengue fever
a health professional diagnosed depression,1,1,Nigéria,a4311_5,A health professional diagnosed depression
a health professional diagnosed diabetes,1,2,Nigéria,a4310_4 | c3310_4,A health professional diagnosed diabetes
